None
Data loaded | train: 200 | val: 40 | test: 60 | split: splitdefault

============================================================
Model: AE3dFCDeep_VAE | latent_dim: 8
============================================================
Training AE3dFCDeep_VAE | device=cuda | batch_size=1 | patience=30 | max_epochs=300
Epoch 62/300 | train: 0.001342 | val: 0.001079 | lr: 6.25e-06 (no improvement for 15 epochs)
Epoch 63/300 | train: 0.001323 | val: 0.001030 | lr: 6.25e-06 (no improvement for 16 epochs)
Epoch 64/300 | train: 0.001320 | val: 0.001045 | lr: 6.25e-06 (no improvement for 17 epochs)
Epoch 65/300 | train: 0.001322 | val: 0.001010 | lr: 6.25e-06 (no improvement for 18 epochs)
Epoch 66/300 | train: 0.001322 | val: 0.000984 | lr: 6.25e-06 (no improvement for 19 epochs)
Epoch 67/300 | train: 0.001322 | val: 0.001048 | lr: 6.25e-06 (no improvement for 20 epochs)
Epoch 68/300 | train: 0.001314 | val: 0.001058 | lr: 3.13e-06 (no improvement for 21 epochs)
Epoch 69/300 | train: 0.001309 | val: 0.001041 | lr: 3.13e-06 (no improvement for 22 epochs)
Epoch 70/300 | train: 0.001312 | val: 0.001017 | lr: 3.13e-06 (no improvement for 23 epochs)
Epoch 71/300 | train: 0.001303 | val: 0.001019 | lr: 3.13e-06 (no improvement for 24 epochs)
Epoch 72/300 | train: 0.001308 | val: 0.001001 | lr: 3.13e-06 (no improvement for 25 epochs)
Epoch 73/300 | train: 0.001301 | val: 0.001032 | lr: 3.13e-06 (no improvement for 26 epochs)
Epoch 74/300 | train: 0.001294 | val: 0.000978 | lr: 3.13e-06 (no improvement for 27 epochs)
Epoch 75/300 | train: 0.001290 | val: 0.001040 | lr: 1.56e-06 (no improvement for 28 epochs)
Epoch 76/300 | train: 0.001301 | val: 0.001005 | lr: 1.56e-06 (no improvement for 29 epochs)
Epoch 77/300 | train: 0.001289 | val: 0.001006 | lr: 1.56e-06 (no improvement for 30 epochs)

Early stopping at epoch 77. Best epoch: 47 (val loss: 0.000914).
Loss plot saved: /home/renku/work/SDSC-IRM/results/0_tempo/AE_AE3dFCDeep_VAE_200patients_splitdefault_8dims_aiagent_existing_AE3dFCDeep_VAE_train_val_loss.png
